仮設住宅,カスタム名詞,カセツジュウタク
避難区域,カスタム名詞,ヒナンクイキ
関連死,カスタム名詞,カンレンシ
作業員,カスタム名詞,サギョウイン
除染,カスタム名詞,ジョセン
中間貯蔵,カスタム名詞,チュウカンチョゾウ
TEPCO,カスタム名詞,テプコ
東電,カスタム名詞,トウデン
原子炉,カスタム名詞,ゲンシロ
圧力容器,カスタム名詞,アツリョクヨウキ
ふくしま,カスタム名詞,フクシマ
ヨウ素,カスタム名詞,ヨウソ
放射線,カスタム名詞,ホウシャセン
放射能,カスタム名詞,ホウシャノウ
放射性,カスタム名詞,ホウシャセイ
帰還計画,カスタム名詞,キカンケイカク
核廃棄物,カスタム名詞,カクハイキブツ
廃炉,カスタム名詞,ハイロ
